Rank,Player,Team,Clearances per 90,Total Clearances,Minutes,Matches,Country
1,John Anthony Brooks,TSG Hoffenheim,6.2,106,1539,21,USA
2,Ivan Ordets,VfL Bochum,6.0,126,1879,24,UKR
3,Felix Uduokhai,FC Augsburg,5.4,174,2922,33,GER
4,Timo Hübers,FC Köln,5.4,167,2779,31,GER
5,Nico Elvedi,Borussia Mönchengladbach,5.2,143,2485,30,SUI
6,Marco Friedl,SV Werder Bremen,5.2,127,2198,25,AUT
7,Marvin Friedrich,Borussia Mönchengladbach,5.0,86,1561,24,GER
8,Sepp van den Berg,1. FSV Mainz 05,4.9,154,2838,33,NED
9,Christoph Zimmermann,SV Darmstadt,4.9,66,1216,19,GER
10,Niklas Stark,SV Werder Bremen,4.9,59,1086,17,GER
11,Diogo Leite,1. FC Union Berlin,4.8,143,2708,32,POR
12,Sebastiaan Bornauw,VfL Wolfsburg,4.8,77,1431,20,BEL
13,Matej Maglica,SV Darmstadt,4.7,88,1701,26,CRO
14,Cedric Zesiger,VfL Wolfsburg,4.7,86,1634,23,SUI
15,Moritz Jenz,VfL Wolfsburg,4.7,91,1745,22,GER
16,Patrick Mainka,1. FC Heidenheim 1846,4.6,156,3060,34,GER
17,Waldemar Anton,VfB Stuttgart,4.6,148,2888,33,GER
18,Mats Hummels,Borussia Dortmund,4.6,81,1581,25,GER
19,Maximilian Wöber,Borussia Mönchengladbach,4.6,106,2070,25,AUT
20,Dan-Axel Zagadou,VfB Stuttgart,4.6,74,1453,19,FRA
21,Julian Chabot,FC Köln,4.5,136,2707,32,GER
22,Robin Koch,Eintracht Frankfurt,4.4,135,2740,31,GER
23,Maxence Lacroix,VfL Wolfsburg,4.4,116,2364,28,FRA
24,Benedikt Gimber,1. FC Heidenheim 1846,4.4,98,2026,24,GER
25,Danilho Doekhi,1. FC Union Berlin,4.3,103,2160,24,NED
26,Matthias Ginter,SC Freiburg,4.3,92,1918,23,GER
27,Willian Pacho,Eintracht Frankfurt,4.2,140,2970,33,ECU
28,Willi Orban,RB Leipzig,4.2,73,1583,19,HUN
29,Ozan Kabak,TSG Hoffenheim,4.1,105,2290,28,TUR
30,Keven Schlotterbeck,VfL Bochum,4.1,100,2184,27,GER
31,Kevin Vogt,1. FC Union Berlin,4.0,116,2643,32,GER
32,Castello Lukeba,RB Leipzig,3.8,92,2185,32,FRA
33,Lukas Klostermann,RB Leipzig,3.8,60,1433,25,GER
34,Jeffrey Gouweleeuw,FC Augsburg,3.6,104,2594,30,NED
35,Edimilson Fernandes,1. FSV Mainz 05,3.6,52,1284,21,SUI
36,Manuel Gulde,SC Freiburg,3.5,79,2048,27,GER
37,Christoph Klarer,SV Darmstadt,3.4,90,2356,30,AUT
38,Florian Grillitsch,TSG Hoffenheim,3.4,86,2297,30,AUT
39,Niklas Süle,Borussia Dortmund,3.4,57,1509,23,GER
40,Matthijs de Ligt,Bayern München,3.4,52,1389,22,NED
41,Ko Itakura,Borussia Mönchengladbach,3.4,60,1598,20,JPN
42,Anthony Jung,SV Werder Bremen,3.3,96,2583,31,GER
43,Robin Knoche,1. FC Union Berlin,3.3,70,1916,24,GER
44,Bernardo,VfL Bochum,3.2,105,2924,33,BRA
45,Jonathan Tah,Bayer 04 Leverkusen,3.2,95,2632,31,GER
46,Lennard Maloney,1. FC Heidenheim 1846,3.2,82,2292,29,USA
47,Nico Schlotterbeck,Borussia Dortmund,3.1,97,2861,33,GER
48,Kilian Sildillia,SC Freiburg,3.1,62,1804,27,FRA
49,Hiroki Ito,VfB Stuttgart,3.1,78,2231,26,JPN
50,Min-Jae Kim,Bayern München,3.1,68,1970,25,KOR
51,Christian Gross,SV Werder Bremen,3.1,27,792,20,GER
52,Jordy Makengo,SC Freiburg,3.1,35,1022,20,FRA
53,Tuta,Eintracht Frankfurt,3.0,88,2605,30,BRA
54,Mohamed Simakan,RB Leipzig,2.9,68,2139,32,FRA
55,Joseph Scally,Borussia Mönchengladbach,2.9,71,2236,31,USA
56,Eric Martel,FC Köln,2.9,80,2464,30,GER
57,Erhan Masovic,VfL Bochum,2.9,71,2218,29,SRB
58,Jérôme Roussillon,1. FC Union Berlin,2.9,24,743,23,FRA
59,Senne Lynen,SV Werder Bremen,2.8,55,1791,32,BEL
60,Christopher Trimmel,1. FC Union Berlin,2.8,52,1653,26,AUT
61,Robin Gosens,1. FC Union Berlin,2.7,68,2297,30,GER
62,Olivier Deman,SV Werder Bremen,2.7,41,1359,29,BEL
63,Dayot Upamecano,Bayern München,2.7,52,1763,25,FRA
64,Luca Netz,Borussia Mönchengladbach,2.6,64,2231,30,GER
65,Lukas Kübler,SC Freiburg,2.6,54,1848,26,GER
66,Milos Veljkovic,SV Werder Bremen,2.6,56,1921,23,SRB
67,Rasmus Carstensen,FC Köln,2.6,48,1658,23,DEN
68,Jan Schöppner,1. FC Heidenheim 1846,2.5,55,2000,26,GER
69,Piero Hincapié,Bayer 04 Leverkusen,2.5,42,1484,26,ECU
70,Klaus Gjasula,SV Darmstadt,2.5,38,1366,22,ALB
71,Danny da Costa,1. FSV Mainz 05,2.5,23,826,19,GER
72,Ramy Bensebaini,Borussia Dortmund,2.5,29,1030,17,ALG
73,Anton Stach,TSG Hoffenheim,2.4,67,2497,33,GER
74,Rani Khedira,1. FC Union Berlin,2.4,36,1350,20,GER
75,Kevin Akpoguma,TSG Hoffenheim,2.4,29,1095,17,NGA
76,Maximilian Mittelstaedt,VfB Stuttgart,2.3,53,2104,31,GER
77,Pavel Kaderabek,TSG Hoffenheim,2.3,62,2419,29,CZE
78,Aster Vranckx,VfL Wolfsburg,2.3,29,1143,24,BEL
79,Denis Thomalla,1. FC Heidenheim 1846,2.3,11,432,21,GER
80,Edmond Tapsoba,Bayer 04 Leverkusen,2.2,50,2084,28,BFA
81,Mads Valentin Pedersen,FC Augsburg,2.2,43,1783,27,DEN
82,Iago,FC Augsburg,2.2,39,1622,23,BRA
83,Lucas Tousart,1. FC Union Berlin,2.2,38,1573,23,FRA
84,Amadou Haidara,RB Leipzig,2.2,37,1537,21,MLI
85,Silvan Widmer,1. FSV Mainz 05,2.2,30,1243,20,SUI
86,Leart Paqarada,FC Köln,2.2,26,1073,17,KVX
87,Dominik Kohr,1. FSV Mainz 05,2.1,52,2190,31,GER
88,Joakim Mæhle,VfL Wolfsburg,2.1,56,2454,30,DEN
89,Felix Agu,SV Werder Bremen,2.1,38,1621,24,GER
90,Anthony Rouault,VfB Stuttgart,2.1,24,1008,22,FRA
91,Cristian Gamboa,VfL Bochum,2.1,28,1187,22,CRC
92,Jonas Föhrenbach,1. FC Heidenheim 1846,2.0,61,2790,33,GER
92,David Raum,RB Leipzig,2.0,61,2743,31,GER
92,Julian Weigl,Borussia Mönchengladbach,2.0,61,2766,31,GER
95,Jens Stage,SV Werder Bremen,2.0,51,2334,30,DEN
96,Emir Karic,SV Darmstadt,2.0,40,1781,27,AUT
97,Mathias Honsak,SV Darmstadt,2.0,22,1013,23,AUT
98,Benno Schmitz,FC Köln,2.0,26,1154,22,GER
99,Bartol Franjic,SV Darmstadt,2.0,28,1232,20,CRO
100,Maximilian Arnold,VfL Wolfsburg,1.9,54,2503,30,GER
101,Pascal Stenzel,VfB Stuttgart,1.9,23,1068,23,GER
102,Odilon Kossounou,Bayer 04 Leverkusen,1.9,39,1812,22,CIV
103,Tim Kleindienst,1. FC Heidenheim 1846,1.8,58,2874,33,GER
104,Leandro Barreiro,1. FSV Mainz 05,1.8,52,2606,31,LUX
105,Tom Krauss,1. FSV Mainz 05,1.8,27,1339,29,GER
106,Kevin Mbabu,FC Augsburg,1.8,42,2048,25,SUI
107,Yannick Gerhardt,VfL Wolfsburg,1.8,32,1635,25,GER
108,Alex Kral,1. FC Union Berlin,1.8,28,1365,24,CZE
109,Philipp Mwene,1. FSV Mainz 05,1.8,40,2003,23,AUT
110,Maximilian Wittek,VfL Bochum,1.8,21,1067,21,GER
111,Nicolas Seiwald,RB Leipzig,1.8,14,708,21,AUT
112,Niklas Dorsch,FC Augsburg,1.8,27,1387,21,GER
113,Anthony Losilla,VfL Bochum,1.7,49,2586,31,FRA
114,Aurelio Buta,Eintracht Frankfurt,1.7,32,1744,30,POR
115,Alphonso Davies,Bayern München,1.7,38,2067,29,CAN
116,Niels Nkounkou,Eintracht Frankfurt,1.7,24,1301,29,FRA
117,Ellyes Skhiri,Eintracht Frankfurt,1.7,42,2169,27,TUN
118,Jordan Pefok,Borussia Mönchengladbach,1.7,27,1450,26,USA
119,Emre Can,Borussia Dortmund,1.7,37,1956,25,GER
120,Josip Juranovic,1. FC Union Berlin,1.7,25,1290,21,CRO
121,Felix Nmecha,Borussia Dortmund,1.7,19,1016,20,GER
122,Noussair Mazraoui,Bayern München,1.7,23,1197,19,MAR
123,Ridle Baku,VfL Wolfsburg,1.6,36,2011,33,GER
124,Benjamin Sesko,RB Leipzig,1.6,27,1528,31,SVN
125,Eric Ebimbe,Eintracht Frankfurt,1.6,35,1967,31,FRA
126,Omar Traoré,1. FC Heidenheim 1846,1.6,45,2474,31,GER
127,Leon Goretzka,Bayern München,1.6,41,2242,30,GER
127,Nicolas Höfler,SC Freiburg,1.6,41,2332,28,GER
129,Robert Skov,TSG Hoffenheim,1.6,22,1261,25,DEN
130,Max Finkgrafe,FC Köln,1.6,32,1756,24,GER
131,András Schäfer,1. FC Union Berlin,1.6,22,1218,20,HUN
131,Josip Stanisic,Bayer 04 Leverkusen,1.6,22,1257,20,CRO
133,Grischa Prömel,TSG Hoffenheim,1.5,35,2146,28,GER
134,Kevin Paredes,VfL Wolfsburg,1.5,24,1429,28,USA
135,Marcel Sabitzer,Borussia Dortmund,1.5,33,1964,25,AUT
136,Finn Becker,TSG Hoffenheim,1.5,10,596,22,GER
137,Julian Ryerson,Borussia Dortmund,1.5,30,1772,21,NOR
138,Atakan Karazor,VfB Stuttgart,1.4,40,2630,33,GER
139,Michael Gregoritsch,SC Freiburg,1.4,26,1684,32,AUT
140,Anthony Caci,1. FSV Mainz 05,1.4,40,2493,31,FRA
141,Kevin Sessa,1. FC Heidenheim 1846,1.4,16,1001,30,GER
142,Hugo Larsson,Eintracht Frankfurt,1.4,29,1885,29,SWE
143,Steffen Tigges,FC Köln,1.4,11,715,25,GER
144,Matus Bero,VfL Bochum,1.4,25,1665,24,SVK
145,Patrick Osterhage,VfL Bochum,1.4,29,1863,24,GER
146,Adrian Beck,1. FC Heidenheim 1846,1.4,15,971,23,GER
147,Jan Thielmann,FC Köln,1.4,24,1588,22,GER
148,Davie Selke,FC Köln,1.4,20,1271,19,GER
149,Phillip Tietz,FC Augsburg,1.3,35,2405,34,GER
150,Granit Xhaka,Bayer 04 Leverkusen,1.3,40,2828,33,SUI
151,Lucas Höler,SC Freiburg,1.3,34,2309,33,GER
152,Arne Engels,FC Augsburg,1.3,20,1398,32,BEL
153,Marius Bülter,TSG Hoffenheim,1.3,19,1346,30,GER
154,Mitchell Weiser,SV Werder Bremen,1.3,39,2639,30,GER
155,Mattias Svanberg,VfL Wolfsburg,1.3,25,1725,25,SWE
156,Norman Theuerkauf,1. FC Heidenheim 1846,1.3,18,1257,25,GER
157,Merlin Röhl,SC Freiburg,1.3,22,1483,24,GER
158,Noah Weisshaupt,SC Freiburg,1.3,11,744,24,GER
159,Fredrik Jensen,FC Augsburg,1.3,20,1350,22,FIN
160,Fabian Nürnberg,SV Darmstadt,1.3,22,1519,21,GER
