Rank,Player,Team,Big Chances Created,Total Assists,Minutes,Matches,Country
1,Franck Honorat,Borussia Mönchengladbach,19,9,2358,32,FRA
2,Alejandro Grimaldo,Bayer 04 Leverkusen,18,13,2785,33,ESP
3,Julian Brandt,Borussia Dortmund,18,11,2230,32,GER
4,Kevin Stöger,VfL Bochum,17,9,2678,32,AUT
4,Thomas Müller,Bayern München,17,9,1659,31,GER
6,Vincenzo Grifo,SC Freiburg,17,8,2344,32,ITA
7,Jonas Hofmann,Bayer 04 Leverkusen,17,7,2214,32,GER
8,Leroy Sané,Bayern München,16,11,2142,27,GER
9,Deniz Undav,VfB Stuttgart,15,9,2096,30,GER
10,David Raum,RB Leipzig,15,8,2743,31,GER
11,Fares Chaibi,Eintracht Frankfurt,15,4,1920,28,ALG
12,Xavi Simons,RB Leipzig,14,11,2673,32,NED
13,Andrej Kramaric,TSG Hoffenheim,14,6,2206,30,CRO
14,Harry Kane,Bayern München,13,8,2843,32,ENG
15,Florian Wirtz,Bayer 04 Leverkusen,12,11,2377,32,GER
16,Marvin Ducksch,SV Werder Bremen,12,9,2710,33,GER
17,Jamal Musiala,Bayern München,12,6,1766,24,GER
17,Romano Schmid,SV Werder Bremen,12,6,2614,33,AUT
19,Serhou Guirassy,VfB Stuttgart,12,2,2212,28,GUI
20,Chris Führich,VfB Stuttgart,11,7,2594,34,GER
20,Ikoma Lois Openda,RB Leipzig,11,7,2716,34,BEL
22,Joshua Kimmich,Bayern München,11,6,2185,28,GER
23,Jan-Niklas Beste,1. FC Heidenheim 1846,10,11,2618,31,GER
24,Leon Goretzka,Bayern München,10,7,2242,30,GER
25,Marco Reus,Borussia Dortmund,10,6,1612,26,GER
26,Nadiem Amiri,1. FSV Mainz 05,10,4,1401,23,GER
26,Pavel Kaderabek,TSG Hoffenheim,10,4,2419,29,CZE
28,Ridle Baku,VfL Wolfsburg,10,0,2011,33,GER
29,Jeremie Frimpong,Bayer 04 Leverkusen,9,7,2263,31,NED
29,Jonas Wind,VfL Wolfsburg,9,7,2660,34,DEN
31,Benjamin Henrichs,RB Leipzig,9,5,2531,33,GER
32,Brajan Gruda,1. FSV Mainz 05,9,3,1651,28,GER
33,Donyell Malen,Borussia Dortmund,9,1,1783,27,NED
34,Ermedin Demirovic,FC Augsburg,8,9,2879,33,BIH
35,Victor Okoh Boniface,Bayer 04 Leverkusen,8,8,1553,23,NGA
